institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
Appalachian State University,18.0,23.0,1473653.0,1195867.0,Basketball,760.0,2670.0,780.0,1135.0,954.0,
Appalachian State University,54.0,134.0,518857.0,769212.0,All Track Combined,,,,,,
Appalachian State University,,24.0,,583458.0,Field Hockey,,,,,,
Appalachian State University,134.0,,8506239.0,,Football,,,,,,
Appalachian State University,11.0,9.0,278858.0,236861.0,Golf,,,,,,
Appalachian State University,,40.0,,600825.0,Soccer,,,,,,
Appalachian State University,,28.0,,790295.0,Softball,,,,,,
Appalachian State University,,12.0,,336508.0,Tennis,,,,,,
Appalachian State University,,20.0,,631743.0,Volleyball,,,,,,
Appalachian State University,33.0,,467950.0,,Wrestling,,,,,,
Barton College,83.0,,488835.0,,Baseball,,,,,,
Barton College,24.0,21.0,332749.0,452179.0,Basketball,,,,,,
Barton College,60.0,44.0,260766.0,187268.0,All Track Combined,,,,,,
Barton College,135.0,,1185973.0,,Football,,,,,,
Barton College,16.0,7.0,117991.0,89505.0,Golf,,,,,,
Barton College,39.0,21.0,430470.0,267416.0,Lacrosse,,,,,,
Barton College,42.0,40.0,282869.0,358170.0,Soccer,,,,,,
Barton College,,26.0,,231772.0,Softball,,,,,,
Barton College,21.0,21.0,220822.0,237985.0,Swimming,,,,,,
Barton College,12.0,8.0,150619.0,181493.0,Tennis,,,,,,
Barton College,15.0,15.0,176803.0,193861.0,Volleyball,,,,,,
Belmont Abbey College,83.0,,740323.0,,Baseball,,,,,,
Belmont Abbey College,14.0,14.0,477448.0,477970.0,Basketball,,,,,,
Belmont Abbey College,,21.0,,161699.0,Field Hockey,,,,,,
Belmont Abbey College,20.0,15.0,191795.0,195310.0,Golf,,,,,,
Belmont Abbey College,75.0,29.0,556164.0,257120.0,Lacrosse,,,,,,
Belmont Abbey College,51.0,47.0,375552.0,270580.0,Soccer,,,,,,
Belmont Abbey College,,42.0,,360070.0,Softball,,,,,,
Belmont Abbey College,32.0,14.0,254267.0,183402.0,Tennis,,,,,,
Belmont Abbey College,27.0,24.0,30813.0,31284.0,"Track and Field, Indoor",,,,,,
Belmont Abbey College,26.0,26.0,166121.0,113677.0,"Track and Field, Outdoor",,,,,,
Belmont Abbey College,15.0,14.0,35346.0,25869.0,"Track and Field, X-Country",,,,,,
Belmont Abbey College,15.0,23.0,221867.0,203610.0,Volleyball,,,,,,
Belmont Abbey College,47.0,,350118.0,,Wrestling,,,,,,
Belmont Abbey College,23.0,62.0,149175.0,394690.0,Other Sports,,,,,,
Belmont Abbey College,8.0,6.0,70684.0,59843.0,Bowling,,,,,,
Brevard College,40.0,,149806.0,,Baseball,,,,,,
Brevard College,19.0,15.0,121461.0,113106.0,Basketball,,,,,,
Brevard College,33.0,9.0,39237.0,37174.0,All Track Combined,,,,,,
Brevard College,95.0,,460945.0,,Football,,,,,,
Brevard College,14.0,14.0,96912.0,96927.0,Lacrosse,,,,,,
Brevard College,52.0,26.0,134427.0,94696.0,Soccer,,,,,,
Brevard College,,15.0,,72897.0,Softball,,,,,,
Brevard College,8.0,9.0,31688.0,28746.0,Tennis,,,,,,
Brevard College,,16.0,,95959.0,Volleyball,,,,,,
Brevard College,,,,,Other Sports,,,,,,
Brunswick Community College,30.0,,130373.0,,Baseball,,,,,,
Brunswick Community College,15.0,15.0,49051.0,25127.0,Basketball,,,,,,
Caldwell Community College and Technical Institute,42.0,,58666.0,,Baseball,,,,,,
Caldwell Community College and Technical Institute,15.0,9.0,44589.0,31314.0,Basketball,,,,,,
Caldwell Community College and Technical Institute,,15.0,,37665.0,Softball,,,,,,
Campbell University,46.0,,1527515.0,,Baseball,,,,,,
Campbell University,19.0,14.0,1485373.0,1309139.0,Basketball,,,,,,
Campbell University,75.0,74.0,869641.0,854548.0,All Track Combined,,,,,,
Campbell University,128.0,,5392671.0,,Football,,,,,,
Campbell University,9.0,9.0,427207.0,458970.0,Golf,,,,,,
Campbell University,,36.0,,820275.0,Lacrosse,,,,,,
Campbell University,33.0,30.0,924068.0,928974.0,Soccer,,,,,,
Campbell University,,25.0,,970391.0,Softball,,,,,,
Campbell University,,32.0,,848238.0,Swimming,,,,,,
Campbell University,10.0,8.0,367299.0,317847.0,Tennis,,,,,,
Campbell University,,14.0,,680702.0,Volleyball,,,,,,
Campbell University,54.0,,1075650.0,,Wrestling,,,,,,
Cape Fear Community College,13.0,7.0,69507.0,44112.0,Basketball,,,,,,
Cape Fear Community College,18.0,19.0,34147.0,39179.0,Soccer,,,,,,
Cape Fear Community College,,11.0,,39406.0,Volleyball,,,,,,
Catawba College,56.0,,526387.0,,Baseball,,,,,,
Catawba College,43.0,20.0,556834.0,475339.0,Basketball,,,,,,
Catawba College,49.0,50.0,282673.0,317117.0,All Track Combined,,,,,,
Catawba College,106.0,,1503393.0,,Football,,,,,,
Catawba College,8.0,8.0,159800.0,169436.0,Golf,,,,,,
Catawba College,40.0,24.0,421510.0,291410.0,Lacrosse,,,,,,
Catawba College,26.0,58.0,305852.0,489469.0,Soccer,,,,,,
Catawba College,,26.0,,300647.0,Softball,,,,,,
Catawba College,11.0,8.0,196873.0,154355.0,Swimming,,,,,,
Catawba College,6.0,7.0,129949.0,166889.0,Tennis,,,,,,
Catawba College,,18.0,,307888.0,Volleyball,,,,,,
Catawba College,,19.0,,42564.0,Beach Volleyball,,,,,,
Catawba Valley Community College,45.0,,277018.0,,Baseball,,,,,,
Catawba Valley Community College,18.0,12.0,99240.0,101286.0,Basketball,,,,,,
Catawba Valley Community College,,15.0,,115424.0,Softball,,,,,,
Catawba Valley Community College,,15.0,,156952.0,Volleyball,,,,,,
Catawba Valley Community College,,,,,Other Sports,,,,,,
Central Carolina Community College,15.0,12.0,21425.0,21569.0,Basketball,,,,,,
Central Carolina Community College,4.0,,7180.0,,Golf,,,,,,
Central Carolina Community College,,8.0,,13117.0,Volleyball,,,,,,
Chowan University,37.0,,285882.0,,Baseball,,,,,,
Chowan University,33.0,17.0,452897.0,378647.0,Basketball,,,,,,
Chowan University,10.0,5.0,98928.0,69198.0,Golf,,,,,,
Chowan University,,5.0,,71933.0,Gymnastics,,,,,,
Chowan University,31.0,18.0,362355.0,231676.0,Lacrosse,,,,,,
Chowan University,30.0,28.0,375294.0,330903.0,Soccer,,,,,,
Chowan University,,26.0,,274509.0,Softball,,,,,,
Chowan University,15.0,19.0,157670.0,184871.0,Swimming,,,,,,
Chowan University,10.0,5.0,122783.0,159833.0,Tennis,,,,,,
Chowan University,9.0,5.0,22249.0,36592.0,"Track and Field, X-Country",,,,,,
Chowan University,,15.0,,185448.0,Volleyball,,,,,,
Chowan University,8.0,,58150.0,,Other Sports,,,,,,
Cleveland Community College,45.0,,120008.0,,Baseball,,,,,,
Cleveland Community College,,15.0,,59972.0,Softball,,,,,,
Cleveland Community College,6.0,2.0,7191.0,4663.0,"Track and Field, X-Country",,,,,,
